Solr_Field,Original_Heading,Count,Valid_Heading,URI,Authority,Type,Thoroughfares_Features,Action,Change_To,Changed,Note
mods_subject_topic_ms,"H.J. Heinz Company (Pittsburgh, Pa.).Courtyard.",5,H.J. Heinz Company,http://id.loc.gov/authorities/names/n50056413,naf,corporate,,split,H.J. Heinz Company,true,reviewed
mods_subject_topic_ms,"H.J. Heinz Company (Pittsburgh, Pa.).Drying rooms.",1,H.J. Heinz Company,http://id.loc.gov/authorities/names/n50056413,naf,corporate,,split,H.J. Heinz Company,true,reviewed
mods_subject_topic_ms,"H.J. Heinz Company (Pittsburgh, Pa.).Dynamo Room.",1,H.J. Heinz Company,http://id.loc.gov/authorities/names/n50056413,naf,corporate,,split,H.J. Heinz Company,true,reviewed
mods_subject_topic_ms,"H.J. Heinz Company (Pittsburgh, Pa.).Electrical Shop.",1,H.J. Heinz Company,http://id.loc.gov/authorities/names/n50056413,naf,corporate,,split,H.J. Heinz Company,true,reviewed
mods_subject_topic_ms,"H.J. Heinz Company (Pittsburgh, Pa.).Employee Store.",1,H.J. Heinz Company,http://id.loc.gov/authorities/names/n50056413,naf,corporate,,split,H.J. Heinz Company,true,reviewed
mods_subject_topic_ms,"H.J. Heinz Company (Pittsburgh, Pa.).Engine Room.",1,H.J. Heinz Company,http://id.loc.gov/authorities/names/n50056413,naf,corporate,,split,H.J. Heinz Company,true,reviewed
mods_subject_topic_ms,"H.J. Heinz Company (Pittsburgh, Pa.).Experimental Kitchen.",1,H.J. Heinz Company,http://id.loc.gov/authorities/names/n50056413,naf,corporate,,split,H.J. Heinz Company,true,reviewed
mods_subject_topic_ms,"H.J. Heinz Company (Pittsburgh, Pa.).Experimental Room.",1,H.J. Heinz Company,http://id.loc.gov/authorities/names/n50056413,naf,corporate,,split,H.J. Heinz Company,true,reviewed
mods_subject_topic_ms,"H.J. Heinz Company (Pittsburgh, Pa.).Finished Goods Warehouse.",8,H.J. Heinz Company,http://id.loc.gov/authorities/names/n50056413,naf,corporate,,split,H.J. Heinz Company,true,reviewed
mods_subject_topic_ms,"H.J. Heinz Company (Pittsburgh, Pa.).General Office Building.",1,H.J. Heinz Company,http://id.loc.gov/authorities/names/n50056413,naf,corporate,,split,H.J. Heinz Company,true,reviewed
